figure,panel,method,severity,value
Figure_3,depth_dropout,ablation_no_attention,1,16.986817325800377
Figure_3,depth_dropout,ablation_no_attention,2,10.96045197740113
Figure_3,depth_dropout,ablation_no_attention,3,8.738229755178908
Figure_3,depth_dropout,ablation_no_attention_domain_aug,1,84.55743879472693
Figure_3,depth_dropout,ablation_no_attention_domain_aug,2,85.27306967984934
Figure_3,depth_dropout,ablation_no_attention_domain_aug,3,84.18079096045197
Figure_3,depth_dropout,litemsa,1,9.227871939736348
Figure_3,depth_dropout,litemsa,2,5.800376647834274
Figure_3,depth_dropout,litemsa,3,4.48210922787194
Figure_3,depth_dropout,litemsa_domain_aug,1,85.42372881355932
Figure_3,depth_dropout,litemsa_domain_aug,2,84.105461393597
Figure_3,depth_dropout,litemsa_domain_aug,3,84.25612052730696
Figure_3,depth_noise,ablation_no_attention,1,41.5819209039548
Figure_3,depth_noise,ablation_no_attention,2,23.578154425612052
Figure_3,depth_noise,ablation_no_attention,3,13.93596986817326
Figure_3,depth_noise,ablation_no_attention_domain_aug,1,85.98870056497175
Figure_3,depth_noise,ablation_no_attention_domain_aug,2,84.85875706214689
Figure_3,depth_noise,ablation_no_attention_domain_aug,3,85.5743879472693
Figure_3,depth_noise,litemsa,1,56.271186440677965
Figure_3,depth_noise,litemsa,2,28.512241054613934
Figure_3,depth_noise,litemsa,3,11.82674199623352
Figure_3,depth_noise,litemsa_domain_aug,1,84.8964218455744
Figure_3,depth_noise,litemsa_domain_aug,2,84.8964218455744
Figure_3,depth_noise,litemsa_domain_aug,3,84.67043314500941
Figure_3,rgb_noise,ablation_no_attention,1,10.696798493408663
Figure_3,rgb_noise,ablation_no_attention,2,4.745762711864407
Figure_3,rgb_noise,ablation_no_attention,3,2.598870056497175
Figure_3,rgb_noise,ablation_no_attention_domain_aug,1,84.06779661016948
Figure_3,rgb_noise,ablation_no_attention_domain_aug,2,76.91148775894538
Figure_3,rgb_noise,ablation_no_attention_domain_aug,3,61.99623352165724
Figure_3,rgb_noise,litemsa,1,10.847457627118645
Figure_3,rgb_noise,litemsa,2,3.0131826741996237
Figure_3,rgb_noise,litemsa,3,1.0922787193973633
Figure_3,rgb_noise,litemsa_domain_aug,1,84.40677966101696
Figure_3,rgb_noise,litemsa_domain_aug,2,77.5894538606403
Figure_3,rgb_noise,litemsa_domain_aug,3,68.54990583804143
Figure_4,depth_dropout,litemsa,1,24.519180722305308
Figure_4,depth_dropout,litemsa,2,18.05237942388647
Figure_4,depth_dropout,litemsa,3,14.121524165264601
Figure_4,depth_dropout,litemsa,4,11.790567702262768
Figure_4,depth_dropout,litemsa,5,10.374916744640357
Figure_4,depth_dropout,litemsa_domain_aug,1,96.20152587656622
Figure_4,depth_dropout,litemsa_domain_aug,2,96.09889227975977
Figure_4,depth_dropout,litemsa_domain_aug,3,95.76291747332733
Figure_4,depth_dropout,litemsa_domain_aug,4,94.95615922153314
Figure_4,depth_dropout,litemsa_domain_aug,5,93.79430357863687
Figure_4,depth_noise,litemsa,1,89.05240381211227
Figure_4,depth_noise,litemsa,2,83.11481838264044
Figure_4,depth_noise,litemsa,3,77.46827043430496
Figure_4,depth_noise,litemsa,4,71.70258749604922
Figure_4,depth_noise,litemsa,5,66.49294787337266
Figure_4,depth_noise,litemsa_domain_aug,1,96.24619895635222
Figure_4,depth_noise,litemsa_domain_aug,2,96.28686588753726
Figure_4,depth_noise,litemsa_domain_aug,3,96.16929218531544
Figure_4,depth_noise,litemsa_domain_aug,4,96.06844477414565
Figure_4,depth_noise,litemsa_domain_aug,5,95.93407520885127
Figure_4,rgb_noise,litemsa,1,79.93567503141033
Figure_4,rgb_noise,litemsa,2,73.19311406302492
Figure_4,rgb_noise,litemsa,3,67.4303532406785
Figure_4,rgb_noise,litemsa,4,62.865710627292025
Figure_4,rgb_noise,litemsa,5,58.95707222612759
Figure_4,rgb_noise,litemsa_domain_aug,1,96.13565069394716
Figure_4,rgb_noise,litemsa_domain_aug,2,95.71637351363633
Figure_4,rgb_noise,litemsa_domain_aug,3,94.75801649192175
Figure_4,rgb_noise,litemsa_domain_aug,4,92.24429457759655
Figure_4,rgb_noise,litemsa_domain_aug,5,88.32776799772458
Figure_5,mean_spatial_tsi_mean,litemsa,1,0.10138543545851865
Figure_5,mean_spatial_tsi_mean,litemsa,2,-0.2095231917252973
Figure_5,mean_spatial_tsi_mean,litemsa,3,-0.4261882499182236
Figure_5,mean_spatial_tsi_mean,litemsa_domain_aug,1,0.8917395683747469
Figure_5,mean_spatial_tsi_mean,litemsa_domain_aug,2,0.8723360524880904
Figure_5,mean_spatial_tsi_mean,litemsa_domain_aug,3,0.861308113170786
Figure_5,mean_trust_shift_mean,litemsa,1,2.6526430381444444
Figure_5,mean_trust_shift_mean,litemsa,2,3.427292000506557
Figure_5,mean_trust_shift_mean,litemsa,3,3.95741095403718
Figure_5,mean_trust_shift_mean,litemsa_domain_aug,1,0.2790523795758263
Figure_5,mean_trust_shift_mean,litemsa_domain_aug,2,0.33010996515019014
Figure_5,mean_trust_shift_mean,litemsa_domain_aug,3,0.36082455739238617
Figure_5,rectangle_acc_mean,litemsa,1,8.964218455743875
Figure_5,rectangle_acc_mean,litemsa,2,5.423728813559317
Figure_5,rectangle_acc_mean,litemsa,3,4.067796610169486
Figure_5,rectangle_acc_mean,litemsa_domain_aug,1,84.67043314500941
Figure_5,rectangle_acc_mean,litemsa_domain_aug,2,84.51977401129943
Figure_5,rectangle_acc_mean,litemsa_domain_aug,3,83.84180790960453
