check_id,category,source,target,observed,expected,tolerance,absolute_difference,status,notes
T1-CI-DA-MEAN,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,86.74199623352165,86.74,0.005,0.0019962335216519023,pass,
T1-CI-DA-SD,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,2.461420047411267,2.46,0.005,0.0014200474112668893,pass,
T1-CI-DA-N,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,15,15,0,0.0,pass,
T1-COG-DA-MEAN,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,85.29012345679011,85.29,0.005,0.000123456790106502,pass,
T1-COG-DA-SD,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,4.251687925850806,4.25,0.005,0.0016879258508062378,pass,
T1-COG-DA-N,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,15,15,0,0.0,pass,
T1-J-DA-MEAN,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,96.36050185554458,96.36,0.005,0.0005018555445843731,pass,
T1-J-DA-SD,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,0.3412025560883836,0.34,0.005,0.0012025560883835995,pass,
T1-J-DA-N,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug,15,15,0,0.0,pass,
T1-CI-BASE-MEAN,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa,84.33145009416197,84.33,0.005,0.0014500941619672858,pass,
T1-CI-BASE-SD,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa,2.6280658785669577,2.63,0.005,0.0019341214330421685,pass,
T1-CI-BASE-N,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa,15,15,0,0.0,pass,
T1-J-BASE-MEAN,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa,96.38426097515215,96.38,0.005,0.004260975152149626,pass,
T1-J-BASE-SD,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa,0.586765747203908,0.59,0.005,0.0032342527960920187,pass,
T1-J-BASE-N,clean_summary,evidence_tables/final_rectangle_eval_runs.csv,litemsa,15,15,0,0.0,pass,
P-J-DA-v-BASE,exact_signflip_permutation,evidence_tables/final_rectangle_eval_runs.csv,litemsa_domain_aug vs litemsa,0.856201171875,0.8562,6e-05,1.1718750000389022e-06,pass,n=15; two-sided exact sign-flip on mean paired difference
